library,target,variant_class,EC50_C68_61,sd_EC50_C68_61,n_bc_EC50_C68_61,EC50_C68_183,sd_EC50_C68_183,n_bc_EC50_C68_183,EC50_C68_185,sd_EC50_C68_185,n_bc_EC50_C68_185,EC50_C68_3,sd_EC50_C68_3,n_bc_EC50_C68_3,EC50_C68_10,sd_EC50_C68_10,n_bc_EC50_C68_10,EC50_C68_88,sd_EC50_C68_88,n_bc_EC50_C68_88,EC50_C68_201,sd_EC50_C68_201,n_bc_EC50_C68_201,EC50_C68_239,sd_EC50_C68_239,n_bc_EC50_C68_239,EC50_C68_490,sd_EC50_C68_490,n_bc_EC50_C68_490,expr,delta_expr
lib61_SARSr-wts,ZXC21,wildtype,0.62104,0.23125,400,1351.85988,0.36059,554,2.14917,0.15199,527,63568.05107,0.23879,566,93048.38387,0.08968,575,5.6616,0.12425,568,2.55669,0.12126,574,90284.17095,0.11143,563,0.42951,0.13885,556,9.9846,-0.1664
lib61_SARSr-wts,Rf1,wildtype,0.34594,0.18491,76,339.53578,0.35696,127,1.0096,0.23433,90,71128.91954,0.21984,128,62454.32158,0.24977,116,5764.38149,0.28162,111,0.77052,0.15634,121,93594.87466,0.08471,116,2.03656,0.13673,125,10.1638,0.0128
lib61_SARSr-wts,JL2012,wildtype,0.35296,0.21031,260,670.08518,0.38097,343,1.07356,0.20937,263,72697.38043,0.20854,364,86344.78395,0.13937,343,2956.97953,0.35893,330,1.16522,0.15764,343,89192.188,0.11621,312,2.49046,0.12404,340,10.1559,0.0049
lib61_SARSr-wts,273-2005,wildtype,0.32914,0.18337,147,293.1694,0.31502,221,1.10255,0.20685,168,61149.96009,0.2696,233,77789.70933,0.18692,214,8596.8323,0.1819,211,0.51946,0.14473,214,93250.99478,0.0873,216,2.47611,0.11928,223,9.9353,-0.2157
lib61_SARSr-wts,HeB2013,wildtype,0.34474,0.19634,177,582.86309,0.34714,274,1.01692,0.21876,198,74778.0542,0.19515,284,78137.98111,0.19063,266,7007.92267,0.24705,257,1.00986,0.14339,271,90337.12085,0.11004,267,2.34231,0.12587,272,10.0424,-0.1086
lib61_SARSr-wts,HuB2013,wildtype,0.25659,0.18847,184,159.24778,0.30155,279,1.18096,0.2151,225,64087.85073,0.24411,292,90177.34909,0.11174,278,2.50542,0.11097,277,0.34729,0.13876,271,87665.06838,0.1291,272,0.34263,0.15612,279,10.2115,0.0605
lib61_SARSr-wts,Rs4247,wildtype,0.27544,0.19643,281,267.91232,0.33591,378,1.15937,0.20015,307,63159.24778,0.24666,396,87558.21903,0.12993,366,2.51809,0.10824,361,0.33826,0.14087,364,87687.6341,0.12985,357,0.34399,0.15484,367,10.1636,0.0126
lib61_SARSr-wts,Longquan-140,wildtype,0.27908,0.17074,173,309.84091,0.31447,245,1.08385,0.21312,200,66457.80451,0.24406,262,89593.30926,0.11639,256,2.7209,0.09474,258,0.42299,0.146,256,90194.88675,0.11749,256,0.38868,0.15582,257,10.0063,-0.1447
lib61_SARSr-wts,HKU3-8,wildtype,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lib61_SARSr-wts,HKU3-1,wildtype,0.29187,0.18449,136,336.27754,0.35348,157,1.38167,0.20282,141,63323.12606,0.22856,156,92551.48314,0.09951,169,2.68803,0.09188,162,0.36798,0.1608,163,86805.66516,0.13864,169,0.36993,0.15042,164,10.1201,-0.0309
lib61_SARSr-wts,GX2013,wildtype,0.27724,0.16474,288,316.33133,0.36892,397,1.11465,0.18422,319,63552.64882,0.2484,433,92709.89165,0.09514,410,2.61093,0.11098,410,0.34848,0.14629,408,90737.33155,0.11349,419,0.33872,0.15547,413,10.1301,-0.0209
lib61_SARSr-wts,Shaanxi2011,wildtype,0.56453,0.22263,165,539.77544,0.3347,302,1.68671,0.1723,277,67503.30951,0.23533,321,26103.61582,0.30644,300,5.80125,0.13588,295,0.27723,0.14321,296,89051.17529,0.1319,290,0.42774,0.15127,295,10.2584,0.1074
lib61_SARSr-wts,279-2005,wildtype,0.56753,0.22725,150,643.73026,0.3217,267,1.8881,0.13919,247,69811.58174,0.22658,280,35716.39428,0.2938,263,4.06907,0.06903,262,0.27115,0.13498,253,88939.73371,0.12425,254,0.43607,0.15549,253,10.163,0.012
lib61_SARSr-wts,As6526,wildtype,0.27211,0.19371,102,289.94577,0.30962,195,0.88623,0.21477,139,69373.62454,0.22744,206,66633.92162,0.23623,204,3.66488,0.06965,192,0.2713,0.12144,194,86790.82498,0.13058,199,0.41155,0.14414,201,10.1864,0.0354
lib61_SARSr-wts,Yunnan2011,wildtype,0.33301,0.21536,214,27985.94183,0.27901,348,1.69438,0.18014,295,68320.39007,0.2315,336,81765.59464,0.15939,322,3.80726,0.06328,312,0.64096,0.13817,305,88312.08087,0.12932,306,0.37323,0.16216,306,10.1321,-0.0189
lib61_SARSr-wts,Rs4237,wildtype,0.29273,0.19259,171,482.04604,0.35438,269,0.93208,0.23217,201,70941.03791,0.22217,271,83223.79128,0.16259,257,3.62302,0.06366,253,0.27908,0.13387,251,88841.39163,0.12968,250,0.44331,0.16849,253,10.2021,0.0511
lib61_SARSr-wts,Rs4081,wildtype,0.30007,0.20675,144,102.93707,0.22651,274,0.95915,0.19901,195,74173.29296,0.21157,275,71600.25222,0.2239,256,3.73249,0.0635,257,0.32641,0.13448,250,92044.99814,0.09863,250,0.48235,0.165,251,10.1184,-0.0326
lib61_SARSr-wts,Rp3,wildtype,0.27873,0.17258,252,684.04232,0.36731,374,1.32545,0.18274,317,65541.94584,0.22892,399,84443.61785,0.15121,387,2.609,0.10257,388,0.28385,0.12702,383,89676.33269,0.11386,388,0.36486,0.14806,383,10.189,0.038
